UID;Name;CA;PA;Yel;Tgls/90;Tcon/90;Tck;Tck R;Starts;Shutouts;Shot/90;ShT/90;Svt;Svp;Svh;Red;PoM;Pts/Gm;Pen/R;Pas %;Ps A/90;Off;Mstks;Gl Mst;Last Gl;Last C;Mins/Gm;Mins;Last 5 Games;K Tck;K Ps/90;K Pas;K Hdrs;Int/90;Hdr %;Hdrs W/90;Gls/90;All/90;Conc;Gls;G. Mis;Won;Lost;D;Gwin;FA;Fls;DrbPG;Dist/90;Cr C/A;Ch C/90;Av Rat;Mins/Gl;Asts/90;Ast;Apps;Ps C/90
29164157;Jordan Hancox;40;47;0;1.82;1.01;1.05;73%;20;-;1.48;0.43;-;-;-;0;4;1.78;-;72%;31.74;9;20;1;775.00;-;81.74;1 880;6.80;0;1.72;36;6;0.57;53%;1.44;0.14;-;-;3;1;11;4;8;48%;23;22;2.35;7.6mi;16%;1.01;7.31;626.67;0.38;8;20 (3);22.84
29150495;George Harmes;44;65;1;2.11;1.21;1.09;90%;14;-;1.63;0.72;-;-;-;0;2;1.77;-;75%;54.89;2;21;0;119.00;-;57.38;1 492;6.90;0;1.81;30;5;1.57;51%;2.71;0.24;-;-;4;-;13;6;7;50%;23;9;0.42;7.4mi;10%;0.60;7.05;373.00;0.18;3;14 (12);41.32
29073661;David Hughes;43;80;0;1.72;0.43;-;-;2;2;-;-;0;3;6;0;0;1.75;-;47%;40.05;0;0;0;-;7.00;69.67;209;6.84;0;0.43;1;0;-;0%;-;-;0.43;1;0;1;2;0;1;67%;0;0;-;3.0mi;0%;-;6.90;-;-;0;2 (1);18.95
28107022;Jake Humphries;45;76;2;2.06;0.97;1.19;73%;9;-;1.84;0.43;-;-;-;0;0;1.86;-;73%;60.04;0;15;0;288.00;-;59.43;832;6.74;0;1.95;18;2;1.41;63%;2.92;0.22;-;-;2;-;8;4;2;57%;17;17;0.97;7.7mi;15%;0.87;6.91;416.00;0.11;1;9 (5);43.92
28059788;Archie Love;45;86;1;1.81;1.25;1.25;81%;19;-;1.15;0.25;-;-;-;0;1;1.71;-;81%;50.04;5;33;0;254.00;-;64.11;1 795;6.82;1;0.90;18;10;2.66;60%;3.51;0.15;-;-;3;1;14;8;6;50%;23;23;0.40;7.4mi;16%;0.35;6.84;598.33;0.05;1;19 (9);40.61
95037355;Fabio Manuel;25;29;0;1.25;1.25;0.75;75%;4;-;0.25;0.00;-;-;-;0;0;1.50;-;76%;27.00;1;4;0;-;-;90.00;360;7.60;0;1.00;4;1;0.75;22%;0.50;-;-;-;0;6;2;2;0;50%;6;1;2.75;7.1mi;31%;0.75;6.80;-;0.25;1;4;20.50
28094852;Devonte Morton;43;69;0;0.95;1.33;0.38;40%;4;-;2.66;0.95;-;-;-;0;0;2.40;-;80%;39.68;9;9;0;13.00;-;47.40;474;7.52;0;0.76;4;4;0.57;32%;6.84;0.19;-;-;1;-;8;2;0;80%;24;6;0.57;6.5mi;14%;0.19;6.56;474.00;0.19;1;4 (6);31.90
31037737;Louie Newland;22;27;1;0.54;1.63;2.71;100%;4;-;1.08;0.54;-;-;-;0;0;1.35;-;72%;44.19;0;10;0;-;-;66.40;332;7.14;0;0.54;2;0;1.08;43%;1.63;-;-;-;0;6;2;3;0;40%;5;9;0.54;7.4mi;0%;0.27;6.58;-;-;0;4 (1);31.99
2005047;Kevin Nicholson;42;95;1;1.52;0.95;3.24;74%;10;-;0.67;0.19;-;-;-;0;1;1.91;-;74%;66.67;1;24;0;-;-;85.91;945;6.84;7;0.67;7;2;1.43;78%;2.76;-;-;-;0;-;7;4;0;64%;2;10;0.48;6.5mi;11%;0.10;6.97;-;0.10;1;10 (1);49.14
29142046;Joseph Noughele;43;61;2;1.78;1.27;2.49;82%;25;-;0.32;0.12;-;-;-;0;1;1.64;-;59%;52.02;1;36;4;1 859.00;-;91.00;2 275;6.98;29;0.36;9;24;5.34;79%;7.95;0.04;-;-;1;1;11;6;8;44%;11;25;0.24;5.7mi;6%;0.24;6.85;2 275.00;0.16;4;25;30.62
29140253;Robbie Parsons;41;67;0;1.37;1.66;0.49;83%;10;-;3.42;1.96;-;-;-;0;1;1.23;-;72%;29.64;33;18;0;92.00;-;70.77;920;6.86;0;1.08;11;4;0.20;19%;1.47;0.88;-;-;9;-;4;5;4;31%;23;10;1.27;6.4mi;30%;0.59;7.23;102.22;0.10;1;10 (3);21.33
57055455;Florin Pop;55;73;0;1.50;2.09;0.30;50%;3;-;1.50;0.30;-;-;-;0;0;1.60;-;78%;42.76;1;8;0;-;-;75.25;301;6.50;0;1.79;6;1;0.60;67%;1.79;-;-;-;0;-;2;1;1;50%;4;0;0.90;8.0mi;15%;0.60;6.55;-;-;0;3 (1);33.19
29084033;Jordan Porter;50;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.70;-;-;-;-;-;0%;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0%;-;-;-;-;-;-;-
215495;Chris Richards;26;58;1;2.00;2.57;4.57;84%;4;-;-;-;-;-;-;0;0;1.40;-;61%;58.00;0;10;0;-;-;78.75;315;6.74;2;0.86;3;3;1.43;67%;5.14;-;-;-;0;13;1;1;2;25%;3;6;0.29;6.1mi;0%;0.57;6.40;-;-;0;4;35.14
28030489;Nathan Rooney;44;70;1;1.89;1.35;1.89;91%;11;-;2.25;0.72;-;-;-;0;0;1.92;-;71%;49.86;7;23;0;306.00;-;76.92;1 000;6.70;0;1.53;17;3;0.90;55%;3.78;0.18;-;-;2;1;8;4;1;62%;19;20;0.63;7.4mi;11%;0.72;6.87;500.00;0.36;4;11 (2);35.46
5108186;Matt Somner;35;79;1;1.65;1.17;4.77;89%;11;-;1.17;0.19;-;-;-;1;0;1.50;-;73%;39.02;0;18;0;351.00;-;77.08;925;6.72;1;0.58;6;3;2.53;71%;2.82;0.10;-;-;1;-;5;4;3;42%;14;23;0.49;7.1mi;0%;0.10;6.82;925.00;0.10;1;11 (1);28.31
5118703;Ben Starosta;43;90;1;1.98;1.34;3.24;76%;12;-;0.24;0.08;-;-;-;0;0;1.86;100%;67%;59.47;1;17;0;1 061.00;-;81.29;1 138;7.02;13;0.87;11;11;2.29;76%;3.80;0.08;-;-;1;1;8;4;2;57%;1;20;0.16;6.7mi;35%;0.16;6.92;1 138.00;0.24;3;12 (2);39.94
28099014;Lewis Suddick;40;51;1;0.88;0.96;4.56;84%;12;-;2.10;0.35;-;-;-;0;1;1.50;-;62%;24.27;0;3;0;495.00;-;85.58;1 027;;9;0.26;3;1;1.49;68%;2.45;0.09;-;-;1;-;5;4;3;42%;0;7;0.09;3.8mi;35%;0.09;6.78;1 027.00;-;0;12;15.07
61068085;James Thomas;48;77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
29158374;Conner Williamson;41;52;5;2.15;1.42;3.42;86%;20;-;0.34;0.10;-;-;-;0;0;1.95;-;59%;41.97;0;27;0;-;-;83.64;1 840;;27;0.39;8;19;4.06;63%;6.21;-;-;-;0;1;12;3;7;55%;24;48;0.24;5.4mi;0%;-;6.86;-;-;0;20 (2);24.85
28093805;Kyran Wiltshere;51;71;2;1.90;1.14;4.09;81%;12;-;0.61;0.15;-;-;-;0;1;2.12;-;69%;57.09;1;19;0;-;-;74.19;1 187;;16;1.29;17;7;4.78;66%;5.99;-;-;-;0;-;11;4;1;69%;7;26;0.38;5.8mi;0%;0.15;6.99;-;-;0;12 (4);39.58
29084292;Brandon Zibaka;44;72;0;2.09;1.01;0.62;67%;11;-;3.87;1.86;-;-;-;0;2;1.56;100%;73%;28.04;45;10;0;280.00;-;46.48;1 162;;0;1.08;14;7;0.23;32%;3.72;0.70;-;-;9;-;11;8;6;44%;28;20;1.32;6.6mi;23%;0.46;6.90;129.11;0.31;4;11 (14);20.52
