UID;Name;F/PT;Type;Salary;Appearance Fee;Unused Sub Fee;Expires;Offer Status;New Wage;New Date;WaCLG;WaCLG (Games);Loan Expires;Injured On;Injury;Time Out;Condition;Mtc Shp;Sharpness;Player Status;DOB;Height;Weight;Position;Sec. Position;Personality;Media Handling;Preferred Foot;Left Foot;Right Foot;Morale;Match Load;Training Load;Injury Susceptibility;Overall Risk;Workload;Training Happiness;Training Happiness Details;Position/Role;Additional Focus;Loan Status;On Loan From;Squad Status;Transfer Status;Value
29164157;Jordan Hancox;F/T;Full Contract;$220 p/w;$45;;6/30/2018;-;-;-;-;;-;1/25/2018;Pulled knee ligaments;10 days - 3 weeks;93% - 93%;92% - 92%;Currently undergoing treatment for pulled knee ligaments. Expected to be out for between 10 days and 3 weeks.;;10/26/1997 (20 years old);173 cm;136 lbs;M/AM (L);-;Balanced;Media-friendly;Left;Very Strong;Weak;Very Good;Light;Medium;Below Average;Normal injury risk;Medium;Happy with training overall;Injured;W;Crossing;Not set;;First Team;Not set;$2K
29150495;George Harmes;F/T;Full Contract;$220 p/w;$45;;6/30/2018;-;-;-;-;;-;-;-;-;96% - 96%;92% - 92%;Match fit;;9/22/1998 (19 years old);175 cm;149 lbs;M (C);-;Balanced;Media-friendly;Left;Very Strong;Weak;Very Good;Medium;Medium;Below Average;Normal injury risk;Medium;Happy with training overall;;DLP;Positioning;Not set;;First Team;Not set;$2K
29073661;David Hughes;F/T;Full Contract;$400 p/w;$120;$80;6/30/2019;-;-;-;-;;-;-;-;-;100% - 100%;97% - 97%;Fully fit;;5/28/1993 (24 years old);188 cm;169 lbs;GK;-;Balanced;Media-friendly;Right Only;Very Weak;Very Strong;Extremely Good;Light;Medium;Below Average;Normal injury risk;Medium;Happy with training overall;;SK;Composure;Not set;;Backup;Not set;$5.75K
28107022;Jake Humphries;F/T;Full Contract;$210 p/w;$35;$0;6/30/2020;-;-;-;-;;-;-;-;-;98% - 98%;95% - 95%;Match fit;;11/3/1998 (19 years old);171 cm;141 lbs;M/AM (C);-;Balanced;Level-headed;Right;Reasonable;Very Strong;Excellent;Heavy;Medium;Below Average;High injury risk;Medium;Happy with training overall;;AP;Stamina;Not set;;First Team;Not set;$6.25K
28059788;Archie Love;F/T;Full Contract;$230 p/w;$25;$0;6/30/2019;-;-;-;-;;-;-;-;-;100% - 100%;95% - 95%;Fully fit;;10/12/1993 (24 years old);183 cm;160 lbs;M (C);-;Fairly Loyal;Level-headed;Left Only;Very Strong;Very Weak;Extremely Good;Light;Medium;Low;Normal injury risk;Medium;Happy with training overall;;CM;Stamina;Not set;;First Team;Not set;$6.25K
95037355;Fabio Manuel;F/T;Full Contract;$220 p/w;$40;$0;6/30/2018;-;-;-;-;;-;-;-;-;77% - 77%;93% - 93%;Tired after his last match;;11/26/1998 (19 years old);174 cm;147 lbs;AM (R);-;Balanced;Level-headed;Right Only;Weak;Very Strong;Extremely Good;Light;Medium;Low;Increased injury risk;Medium;Happy with training overall;;W;Stamina;Not set;;Youngster;Not set;$2K
28094852;Devonte Morton;F/T;Full Contract;$230 p/w;$25;$0;6/30/2018;-;-;-;-;;-;-;-;-;100% - 100%;93% - 93%;Fully fit;;11/21/1996 (21 years old);194 cm;198 lbs;ST (C);-;Balanced;Level-headed;Right;Weak;Very Strong;Really Good;Light;Medium;Below Average;Normal injury risk;Medium;Happy with training overall;;TM;Finishing;Not set;;Hot Prospect;Not set;$3.4K
31037737;Louie Newland;N/C;Month To Month;N/A;$130;$7;-;-;-;-;-;;-;-;-;-;100% - 100%;93% - 93%;Fully fit;;6/15/1988 (29 years old);177 cm;149 lbs;M (C);-;Balanced;Media-friendly;Right Only;Weak;Very Strong;Very Good;Light;Medium;Below Average;Low injury risk;Medium;Happy with training overall;;DLP;None;Unavailable;;Backup;Not set;$0
2005047;Kevin Nicholson;F/T;Full Contract;$250 p/w;$65;$0;6/30/2018;-;-;-;-;;-;-;-;-;95% - 95%;98% - 98%;Match fit;;10/2/1980 (37 years old);178 cm;160 lbs;D (L);-;Balanced;Level-headed;Left Only;Very Strong;Weak;Extremely Good;Medium;Medium;Very Low;Increased injury risk;Medium;Happy with training overall;;DFB;Quickness;Not set;;First Team;Not set;$550
29142046;Joseph Noughele;F/T;Full Contract;$220 p/w;$25;;6/30/2018;-;-;-;-;;-;-;-;-;100% - 100%;97% - 97%;Fully fit;;11/16/1997 (20 years old);183 cm;167 lbs;D (C);-;Balanced;Media-friendly;Right Only;Weak;Very Strong;Very Good;Light;Medium;Below Average;Increased injury risk;Medium;Happy with training overall;;DCB;Marking;Not set;;First Team;Not set;$1.9K
29140253;Robbie Parsons;F/T;Full Contract;$220 p/w;$35;;6/30/2018;-;-;-;-;;-;-;-;-;96% - 96%;98% - 98%;Match fit;;1/12/1998 (20 years old);176 cm;149 lbs;ST (C);-;Balanced;Media-friendly;Right;Weak;Very Strong;Extremely Good;Medium;Medium;Below Average;Normal injury risk;Medium;Happy with training overall;;P;Strength;Not set;;First Team;Not set;$2.1K
57055455;Florin Pop;F/T;Full Contract;$1 100 p/w;$25;$5;6/30/2020;-;-;-;$1.2K;10;-;-;-;-;97% - 97%;98% - 98%;Match fit;;9/3/1990 (27 years old);180 cm;160 lbs;M (L), AM (RL);M (L), AM (R);Balanced;Media-friendly;Right;Reasonable;Very Strong;Extremely Good;Medium;Medium;Low;Normal injury risk;Medium;Happy with training overall;;IF;Dribbling;Not set;;Key Player;Not set;$3.8K
29084033;Jordan Porter;F/T;Full Contract;$825 p/w;$65;$40;6/30/2021;-;-;-;-;;-;-;-;-;99% - 99%;83% - 83%;Lacking match sharpness;;12/12/1994 (23 years old);189 cm;191 lbs;GK;-;Balanced;Level-headed;Right Only;Weak;Very Strong;Really Good;Light;Medium;Average;Normal injury risk;Medium;Happy with training overall;;SK;First Touch;Not set;;Key Player;Not set;$14.25K
215495;Chris Richards;F/T;Full Contract;$220 p/w;$20;$0;6/30/2018;-;-;-;-;;-;-;-;-;81% - 81%;92% - 92%;Tired after his last match;;12/25/1996 (21 years old);173 cm;147 lbs;D/WB (L);WB (L);Balanced;Media-friendly;Left Only;Very Strong;Weak;Very Good;Light;Medium;Above Average;Increased injury risk;Medium;Happy with training overall;;DFB;Positioning;Not set;;Backup;Not set;$1.1K
28030489;Nathan Rooney;F/T;Full Contract;$250 p/w;$30;$0;6/30/2018;-;-;-;-;;-;-;-;-;99% - 99%;96% - 96%;Match fit;;10/2/1992 (25 years old);183 cm;174 lbs;M/AM (C);-;Balanced;Level-headed;Right Only;Weak;Very Strong;Really Good;Light;Medium;Below Average;Normal injury risk;Medium;Happy with training overall;;DLP;Quickness;Not set;;First Team;Not set;$6.5K
5108186;Matt Somner;F/T;Full Contract;$220 p/w;$25;$0;6/30/2019;-;-;-;-;;-;-;-;-;96% - 96%;95% - 95%;Match fit;;12/8/1982 (35 years old);183 cm;187 lbs;DM, M (C);M (C);Driven;Level-headed;Right Only;Weak;Very Strong;Very Good;Light;Medium;Very Low;Normal injury risk;Medium;Happy with training overall;;BWM;None;Not set;;Backup;Not set;$550
5118703;Ben Starosta;F/T;Full Contract;$250 p/w;$65;$30;6/30/2019;-;-;-;-;;-;-;-;-;99% - 99%;92% - 92%;Fully fit;;1/7/1987 (31 years old);176 cm;154 lbs;D (R);-;Balanced;Media-friendly;Right;Weak;Very Strong;Very Good;Light;Medium;Below Average;Increased injury risk;Medium;Happy with training overall;;DFB;Marking;Not set;;Rotation;Not set;$8.25K
28099014;Lewis Suddick;F/T;Full Contract;$140 p/w;$65;;6/30/2018;-;-;-;-;;6/30/2018;-;-;-;94% - 94%;100% - 100%;Match fit;;10/28/1997 (20 years old);173 cm;123 lbs;D (R);-;Balanced;Media-friendly;Right;Reasonable;Very Strong;Good;Medium;Heavy;Below Average;High injury risk;None;-;-;;None;Listed;Kings Academy;-;Not set;$1.8K
61068085;James Thomas;F/T;Full Contract;$625 p/w;$120;$30;6/30/2019;-;-;-;-;;-;-;-;-;98% - 98%;65% - 65%;Severely lacking in match sharpness;;4/6/1997 (20 years old);187 cm;176 lbs;ST (C);-;Balanced;Media-friendly;Right;Reasonable;Very Strong;Very Good;Light;Heavy;Low;Increased injury risk;Heavy;Happy with training overall;;TM;Passing;Not set;;Key Player;Not set;$17K
29158374;Conner Williamson;F/T;Full Contract;$220 p/w;$45;;6/30/2018;-;-;-;-;;-;-;-;-;95% - 95%;88% - 88%;Match fit;;4/21/1998 (19 years old);183 cm;156 lbs;D (C);-;Balanced;Media-friendly;Right Only;Weak;Very Strong;Extremely Good;Light;Medium;Below Average;Increased injury risk;Medium;Happy with training overall;;CD;Strength;Not set;;First Team;Not set;$1.9K
28093805;Kyran Wiltshere;F/T;Full Contract;$230 p/w;$80;$0;6/30/2019;-;-;-;-;;-;-;-;-;96% - 96%;98% - 98%;Match fit;;9/15/1996 (21 years old);180 cm;165 lbs;D (C), DM, M (C);D (C), DM;Balanced;Level-headed;Right Only;Weak;Very Strong;Excellent;Heavy;Heavy;Low;High injury risk;Heavy;Pleased with training overall;;BPD;Positioning;Not set;;First Team;Not set;$1.8K
29084292;Brandon Zibaka;F/T;Full Contract;$210 p/w;$100;;6/30/2018;-;-;-;-;;-;-;-;-;100% - 100%;86% - 86%;Lacking match sharpness;;5/20/1995 (22 years old);171 cm;156 lbs;ST (C);-;Balanced;Media-friendly;Right;Weak;Very Strong;Superb;Light;Heavy;Below Average;Normal injury risk;Heavy;Pleased with training overall;;P;Strength;Not set;;First Team;Not set;$2.2K
